GenTimestamp,/swerve/rotout,/swerve/txout,/swerve/tyout,/swerveMod/BL/setRotation,/swerveMod/BL/setSpeed,/swerveMod/BL/speed,/swerveMod/BR/setRotation,/swerveMod/BR/setSpeed,/swerveMod/BR/speed,/swerveMod/FL/setRotation,/swerveMod/FL/setSpeed,/swerveMod/FL/speed,/swerveMod/FR/setRotation,/swerveMod/FR/setSpeed,/swerveMod/FR/speed,NT:/LiveWindow/Ungrouped/navX-Sensor[4]/Value
2.613377,,,,,,0,,,0,,,0,,,0,
2.63335,,,,,,0,,,0,,,0,,,0,
2.653342,,,,,,0,,,0,,,0,,,0,
2.672538,,,,,,0,,,0,,,0,,,0,
2.692635,,,,,,0,,,0,,,0,,,0,
2.712107,,,,,,0,,,0,,,0,,,0,
2.733051,,,,,,0,,,0,,,0,,,0,
2.753054,,,,,,0,,,0,,,0,,,0,
2.773049,,,,,,0,,,0,,,0,,,0,
2.793066,,,,,,0,,,0,,,0,,,0,
2.813108,,,,,,0,,,0,,,0,,,0,
2.83303,,,,,,0,,,0,,,0,,,0,
2.852978,,,,,,0,,,0,,,0,,,0,
2.872973,,,,,,0,,,0,,,0,,,0,
2.892963,,,,,,0,,,0,,,0,,,0,
2.913002,,,,,,0,,,0,,,0,,,0,
2.93215,,,,,,0,,,0,,,0,,,0,
2.952206,,,,,,0,,,0,,,0,,,0,
2.973227,,,,,,0,,,0,,,0,,,0,
2.993229,,,,,,0,,,0,,,0,,,0,
3.013205,,,,,,0,,,0,,,0,,,0,
3.033178,,,,,,0,,,0,,,0,,,0,
3.053168,,,,,,0,,,0,,,0,,,0,
3.073159,,,,,,0,,,0,,,0,,,0,
3.093157,,,,,,0,,,0,,,0,,,0,
3.113168,,,,,,0,,,0,,,0,,,0,
3.132162,,,,,,0,,,0,,,0,,,0,
3.153157,,,,,,0,,,0,,,0,,,0,
3.172163,,,,,,0,,,0,,,0,,,0,
3.193201,,,,,,0,,,0,,,0,,,0,
3.212133,,,,,,0,,,0,,,0,,,0,
3.233117,,,,,,0,,,0,,,0,,,0,
3.253144,,,,,,0,,,0,,,0,,,0,
3.273114,,,,,,0,,,0,,,0,,,0,
3.293091,,,,,,0,,,0,,,0,,,0,
3.313097,,,,,,0,,,0,,,0,,,0,
3.333067,,,,,,0,,,0,,,0,,,0,
3.353054,,,,,,0,,,0,,,0,,,0,
3.37304,,,,,,0,,,0,,,0,,,0,
3.393036,,,,,,0,,,0,,,0,,,0,
3.412008,,,,,,0,,,0,,,0,,,0,
3.432059,,,,,,0,,,0,,,0,,,0,
3.452105,,,,,,0,,,0,,,0,,,0,
3.472219,,,,,,0,,,0,,,0,,,0,
3.49222,,,,,,0,,,0,,,0,,,0,
3.513165,,,,,,0,,,0,,,0,,,0,
3.533151,,,,,,0,,,0,,,0,,,0,
3.553146,,,,,,0,,,0,,,0,,,0,
3.573149,,,,,,0,,,0,,,0,,,0,
3.593113,,,,,,0,,,0,,,0,,,0,
3.613103,,,,,,0,,,0,,,0,,,0,
3.632125,,,,,,0,,,0,,,0,,,0,
3.652172,,,,,,0,,,0,,,0,,,0,
3.672339,,,,,,0,,,0,,,0,,,0,
3.693376,,,,,,0,,,0,,,0,,,0,
3.712307,,,,,,0,,,0,,,0,,,0,
3.732239,,,,,,0,,,0,,,0,,,0,
3.75226,,,,,,0,,,0,,,0,,,0,
3.772212,,,,,,0,,,0,,,0,,,0,
3.793198,,,,,,0,,,0,,,0,,,0,
3.813218,,,,,,0,,,0,,,0,,,0,
3.833201,,,,,,0,,,0,,,0,,,0,
3.853173,,,,,,0,,,0,,,0,,,0,
3.873191,,,,,,0,,,0,,,0,,,0,
3.892177,,,,,,0,,,0,,,0,,,0,
3.91222,,,,,,0,,,0,,,0,,,0,
3.932357,,,,,,0,,,0,,,0,,,0,
3.953329,,,,,,0,,,0,,,0,,,0,
3.972284,,,,,,0,,,0,,,0,,,0,
3.993299,,,,,,0,,,0,,,0,,,0,
4.012292,,,,,,0,,,0,,,0,,,0,
4.032242,,,,,,0,,,0,,,0,,,0,
4.053245,,,,,,0,,,0,,,0,,,0,
4.072232,,,,,,0,,,0,,,0,,,0,
4.092213,,,,,,0,,,0,,,0,,,0,
4.113189,,,,,,0,,,0,,,0,,,0,
4.132214,,,,,,0,,,0,,,0,,,0,
4.152265,,,,,,0,,,0,,,0,,,0,
4.172657,,,,,,0,,,0,,,0,,,0,
4.192658,,,,,,0,,,0,,,0,,,0,
4.212622,,,,,,0,,,0,,,0,,,0,
4.232571,,,,,,0,,,0,,,0,,,0,
4.253569,,,,,,0,,,0,,,0,,,0,
4.272556,,,,,,0,,,0,,,0,,,0,
4.292521,,,,,,0,,,0,,,0,,,0,
4.312624,,,,,,0,,,0,,,0,,,0,
4.333527,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.352505,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.372529,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.392578,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.412034,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
